NQUEST;Y;YL;YL1;YL2;YT;YTP;YTP1;YTP2;YTA;YTA1;YTA11;YTA12;YTA2;YTA3;YTA31;YTA32;YTA4;YTA5;YM;YC;YCA;YCA1;YCA2;YCF;YCF1;YCF2;YCF3;YCF4;CLY;CLY2
924619;24.829.633.246;0;0;0;19827;19540;19540;0;287;287;0;287;0;0;0;0;0;0;0;50.026.332.462;5000;0;5000;26.332.461.703;26.332.461.703;0;0;0;5;3
924622;11.405.646.847;0;0;0;7800;7800;7800;0;0;0;0;0;0;0;0;0;0;0;0;36.056.468.472;3600;0;3600;56.468.471.869;56.468.471.869;0;0;0;1;1
924656;16.455.932.216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.455.932.216;16270;10000;6270;18.593.221.633;18.593.221.633;0;0;0;3;2
924676;74.015.494.351;0;0;0;2400;0;0;0;2400;0;0;0;1200;1200;6200;5000;0;0;5000;15.494.351.361;0;0;0;15.494.351.361;15.494.351.361;0;0;0;1;1
924687;11.300.050.883;0;0;0;8400;0;0;0;8400;0;0;0;0;0;0;0;0;8400;500;24.000.508.829;2400;0;2400;0.0508829172;0.0508829172;0;0;0;1;1
924701;7800;0;0;0;6000;0;0;0;6000;6000;0;6000;0;0;0;0;0;0;0;1800;1800;0;1800;0;0;0;0;0;1;1
924706;51.322.600.196;0;0;0;2000;0;0;0;2000;0;0;0;0;0;0;0;2000;0;0;31.322.600.196;3000;0;3000;1.322.600.196;0;13.985.198.447;11.827.482.115;0;1;1
924708;14.313.944.916;11000;11000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33.139.449.162;3300;0;3300;13.944.916.225;13.944.916.225;0;0;0;2;1
924710;24.567.581.924;0;0;0;11268;10668;10668;0;600;0;0;0;0;0;0;0;600;0;8000;52.995.819.244;5250;0;5250;49.581.924.355;49.581.924.355;0;0;0;5;3
924756;51.385.410.553;0;0;0;45890;45890;45890;0;0;0;0;0;0;0;0;0;0;0;0;54.954.105.526;53.869.500.931;0;53.869.500.931;10.846.045.953;10.846.045.953;0;0;0;9;5
924759;61.519.406.831;61000;60000;1000;-9200;0;0;0;-9200;0;0;0;0;-9200;0;9200;0;0;0;9.719.406.831;9600;0;9600;11.940.683.102;24.790.962.178;0;94.615.868.842;0;9;5
924793;38.621.692.092;24000;24000;0;1000;0;0;0;1000;1000;1000;0;0;0;0;0;0;0;0;13.621.692.092;13600;0;13600;21.692.091.905;21.692.091.905;0;0;0;7;4
